Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Merkmale der Schnurrhaare – Negative Merkmale"
WhiskerTraits.Setting.Negative.Description,"Negative Merkmale können auf neuen Schnurrhaaren aktiviert oder deaktiviert werden."
WhiskerTraits.Setting.Neutral.Name,"Schnurrhaarmerkmale - Neutrale Merkmale"
WhiskerTraits.Setting.Neutral.Description,"Aktivieren oder deaktivieren Sie, ob neutrale Merkmale auf neuen Schnurrhaaren erscheinen sollen."
WhiskerTraits.Setting.Positive.Name,"Merkmale der Schnurrhaare – Positive Merkmale"
WhiskerTraits.Setting.Positive.Description,"Aktivieren oder deaktivieren Sie, ob positive Merkmale auf neuen Schnurrhaaren erscheinen sollen."
WhiskerTraits.Setting.Custom.Name,"Schnurrhaarmerkmale - Benutzerdefinierte Merkmale"
WhiskerTraits.Setting.Custom.Description,"Aktivieren oder deaktivieren Sie, ob benutzerdefinierte Merkmale auf neuen Schnurrhaaren angezeigt werden sollen."
WhiskerTraits.Trait.Prolific.Name,"Produktiv"
WhiskerTraits.Trait.Prolific.Description,"Dieser Bart ist außerordentlich produktiv."
WhiskerTraits.Trait.Mighty.Name,"Mächtig"
WhiskerTraits.Trait.Mighty.Description,"Dieser Bart kann extrem schwere Lasten heben."
WhiskerTraits.Trait.Speedy.Name,"Schnell"
WhiskerTraits.Trait.Speedy.Description,"Dieser Schnurrbart ist blitzschnell."
WhiskerTraits.Trait.Normal.Name,"Normal"
WhiskerTraits.Trait.Normal.Description,"Dieser Schnurrbart ist in keiner Weise bemerkenswert."
WhiskerTraits.Trait.Average.Name,"Durchschnitt"
WhiskerTraits.Trait.Average.Description,"Dieser Bart ist nichts Besonderes."
WhiskerTraits.Trait.Mundane.Name,"Alltäglich"
WhiskerTraits.Trait.Mundane.Description,"Dieses Schnurrhaar weist keine nennenswerten Merkmale auf."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Alleskönner"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Dieser Bart eignet sich hervorragend für alle Arten von Arbeit."
WhiskerTraits.Trait.Builder.Name,"Bauherr"
WhiskerTraits.Trait.Builder.Description,"Dieser Bart eignet sich hervorragend für Bauarbeiten."
