Name,"Value"
WhiskerTraits.Setting.Negative.Name,"수염의 특징 - 부정적인 특징"
WhiskerTraits.Setting.Negative.Description,"새로운 수염에 부정적인 특성이 나타나는 것을 활성화 또는 비활성화할 수 있습니다."
WhiskerTraits.Setting.Neutral.Name,"수염 특징 - 중립적 특징"
WhiskerTraits.Setting.Neutral.Description,"새로운 수염에 중립적인 특성이 나타나는 것을 활성화 또는 비활성화할 수 있습니다."
WhiskerTraits.Setting.Positive.Name,"수염의 특징 - 긍정적인 특징"
WhiskerTraits.Setting.Positive.Description,"새로운 수염에 긍정적인 특성이 나타나는 것을 활성화 또는 비활성화할 수 있습니다."
WhiskerTraits.Setting.Custom.Name,"수염 특성 - 사용자 지정 특성"
WhiskerTraits.Setting.Custom.Description,"새로운 수염에 사용자 지정 특성이 나타나도록 설정하거나 해제할 수 있습니다."
WhiskerTraits.Trait.Prolific.Name,"다작"
WhiskerTraits.Trait.Prolific.Description,"이 수염은 놀라울 정도로 생산성이 높습니다."
WhiskerTraits.Trait.Mighty.Name,"거대한"
WhiskerTraits.Trait.Mighty.Description,"이 수염은 엄청나게 무거운 짐을 들어 올릴 수 있습니다."
WhiskerTraits.Trait.Speedy.Name,"빠른"
WhiskerTraits.Trait.Speedy.Description,"이 수염은 번개처럼 빠르다."
WhiskerTraits.Trait.Normal.Name,"정상"
WhiskerTraits.Trait.Normal.Description,"이 수염은 어떤 면에서도 특별할 게 없습니다."
WhiskerTraits.Trait.Average.Name,"평균"
WhiskerTraits.Trait.Average.Description,"이 수염은 흔하디흔하다."
WhiskerTraits.Trait.Mundane.Name,"평범한"
WhiskerTraits.Trait.Mundane.Description,"이 수염은 특별히 눈에 띄는 특징이 없습니다."
WhiskerTraits.Trait.JackOfAllTrades.Name,"만능 재주꾼"
WhiskerTraits.Trait.JackOfAllTrades.Description,"이 수염은 모든 종류의 작업에 탁월합니다."
WhiskerTraits.Trait.Builder.Name,"건축업자"
WhiskerTraits.Trait.Builder.Description,"이 수염은 건설 활동에 탁월합니다."
