Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Vlasy vousů - Negativní vlastnosti"
WhiskerTraits.Setting.Negative.Description,"Povolit nebo zakázat zobrazování negativních vlastností na nových vousech."
WhiskerTraits.Setting.Neutral.Name,"Vlasy vousů - Neutrální vlastnosti"
WhiskerTraits.Setting.Neutral.Description,"Povolit nebo zakázat zobrazování neutrálních znaků na nových vousech."
WhiskerTraits.Setting.Positive.Name,"Vlastnost vousů - Pozitivní vlastnosti"
WhiskerTraits.Setting.Positive.Description,"Povolit nebo zakázat zobrazování pozitivních vlastností na nových vousech."
WhiskerTraits.Setting.Custom.Name,"Vlastnost vousů - Vlastní vlastnosti"
WhiskerTraits.Setting.Custom.Description,"Povolit nebo zakázat zobrazování vlastních vlastností na nových vousech."
WhiskerTraits.Trait.Prolific.Name,"Plodný"
WhiskerTraits.Trait.Prolific.Description,"Tento vous je mimořádně produktivní."
WhiskerTraits.Trait.Mighty.Name,"Mocný"
WhiskerTraits.Trait.Mighty.Description,"Tento chlup dokáže zvednout extrémně těžká břemena."
WhiskerTraits.Trait.Speedy.Name,"Rychlý"
WhiskerTraits.Trait.Speedy.Description,"Tenhle vous je rychlý jako blesk."
WhiskerTraits.Trait.Normal.Name,"Normální"
WhiskerTraits.Trait.Normal.Description,"Tento vous není nijak pozoruhodný."
WhiskerTraits.Trait.Average.Name,"Průměrný"
WhiskerTraits.Trait.Average.Description,"Tenhle vous je úplně obyčejný."
WhiskerTraits.Trait.Mundane.Name,"Obyčejný"
WhiskerTraits.Trait.Mundane.Description,"Tento vous nemá žádné pozoruhodné vlastnosti."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Všeuměl"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Tento chlupáč vyniká ve všech typech práce."
WhiskerTraits.Trait.Builder.Name,"Stavitel"
WhiskerTraits.Trait.Builder.Description,"Tento vous vyniká při stavebních činnostech."
