Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Отрицательные черты характера, связанные с усами"
WhiskerTraits.Setting.Negative.Description,"Включить или отключить появление негативных черт на новых усах."
WhiskerTraits.Setting.Neutral.Name,"Характеристики усов - Нейтральные характеристики"
WhiskerTraits.Setting.Neutral.Description,"Включить или отключить отображение нейтральных признаков на новых усах."
WhiskerTraits.Setting.Positive.Name,"Позитивные черты характера, связанные с усами."
WhiskerTraits.Setting.Positive.Description,"Включить или отключить отображение положительных черт на новых усах."
WhiskerTraits.Setting.Custom.Name,"Характеристики усов - Пользовательские характеристики"
WhiskerTraits.Setting.Custom.Description,"Включить или отключить отображение пользовательских признаков на новых усах."
WhiskerTraits.Trait.Prolific.Name,"Плодовитый"
WhiskerTraits.Trait.Prolific.Description,"Этот усик необычайно продуктивен."
WhiskerTraits.Trait.Mighty.Name,"Могучий"
WhiskerTraits.Trait.Mighty.Description,"Этот «усик» способен поднимать чрезвычайно тяжелые грузы."
WhiskerTraits.Trait.Speedy.Name,"Быстрый"
WhiskerTraits.Trait.Speedy.Description,"Этот усик быстр, как молния."
WhiskerTraits.Trait.Normal.Name,"Нормальный"
WhiskerTraits.Trait.Normal.Description,"Эти усы ничем особенным не примечательны."
WhiskerTraits.Trait.Average.Name,"Средний"
WhiskerTraits.Trait.Average.Description,"Эти усы — обычные."
WhiskerTraits.Trait.Mundane.Name,"Земной"
WhiskerTraits.Trait.Mundane.Description,"Этот ус не обладает какими-либо примечательными характеристиками."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Мастер на все руки"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Этот усик отлично справляется со всеми видами работы."
WhiskerTraits.Trait.Builder.Name,"Строитель"
WhiskerTraits.Trait.Builder.Description,"Этот усик отлично подходит для строительных работ."
