Name,"Value"
WhiskerTraits.Setting.Negative.Name,"鬍鬚特徵 - 負面特徵"
WhiskerTraits.Setting.Negative.Description,"啟用或停用負面特徵在新鬍鬚上的顯示。"
WhiskerTraits.Setting.Neutral.Name,"鬍鬚特徵 - 中性特徵"
WhiskerTraits.Setting.Neutral.Description,"啟用或停用中性特徵在新鬍鬚上的顯示。"
WhiskerTraits.Setting.Positive.Name,"鬍鬚特徵－積極特徵"
WhiskerTraits.Setting.Positive.Description,"啟用或停用正面特徵在新鬍鬚上的顯示。"
WhiskerTraits.Setting.Custom.Name,"鬍鬚特徵 - 自訂特徵"
WhiskerTraits.Setting.Custom.Description,"啟用或停用自訂特徵在新鬍鬚上的顯示。"
WhiskerTraits.Trait.Prolific.Name,"多產的"
WhiskerTraits.Trait.Prolific.Description,"這根鬍鬚的生產力非常高。"
WhiskerTraits.Trait.Mighty.Name,"強大的"
WhiskerTraits.Trait.Mighty.Description,"這根鬍鬚可以舉起極其重的物體。"
WhiskerTraits.Trait.Speedy.Name,"迅速"
WhiskerTraits.Trait.Speedy.Description,"這根鬍鬚移動得像閃電一樣快。"
WhiskerTraits.Trait.Normal.Name,"普通的"
WhiskerTraits.Trait.Normal.Description,"這根鬍鬚沒有任何特別之處。"
WhiskerTraits.Trait.Average.Name,"平均的"
WhiskerTraits.Trait.Average.Description,"這根鬍鬚很普通。"
WhiskerTraits.Trait.Mundane.Name,"平凡"
WhiskerTraits.Trait.Mundane.Description,"這根鬍鬚沒有什麼特別之處。"
WhiskerTraits.Trait.JackOfAllTrades.Name,"萬事通"
WhiskerTraits.Trait.JackOfAllTrades.Description,"這只鬍鬚擅長各種類型的工作。"
WhiskerTraits.Trait.Builder.Name,"建造者"
WhiskerTraits.Trait.Builder.Description,"這隻鬍鬚擅長建築活動。"
