Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Риси вусів - негативні риси"
WhiskerTraits.Setting.Negative.Description,"Увімкнути або вимкнути появу негативних рис на нових вусах."
WhiskerTraits.Setting.Neutral.Name,"Риси вусів - нейтральні риси"
WhiskerTraits.Setting.Neutral.Description,"Увімкнути або вимкнути появу нейтральних рис на нових вусах."
WhiskerTraits.Setting.Positive.Name,"Риси вусів - Позитивні риси"
WhiskerTraits.Setting.Positive.Description,"Увімкнути або вимкнути появу позитивних рис на нових вусах."
WhiskerTraits.Setting.Custom.Name,"Риси вусів - Спеціальні риси"
WhiskerTraits.Setting.Custom.Description,"Увімкнути або вимкнути відображення користувацьких рис на нових вусах."
WhiskerTraits.Trait.Prolific.Name,"Плідний"
WhiskerTraits.Trait.Prolific.Description,"Цей вус надзвичайно продуктивний."
WhiskerTraits.Trait.Mighty.Name,"Могутній"
WhiskerTraits.Trait.Mighty.Description,"Цей вус може піднімати надзвичайно важкі вантажі."
WhiskerTraits.Trait.Speedy.Name,"Швидкий"
WhiskerTraits.Trait.Speedy.Description,"Цей вус швидкий, як блискавка."
WhiskerTraits.Trait.Normal.Name,"Звичайний"
WhiskerTraits.Trait.Normal.Description,"Цей вус нічим не примітний."
WhiskerTraits.Trait.Average.Name,"Середній"
WhiskerTraits.Trait.Average.Description,"Цей вус — звичайна справа."
WhiskerTraits.Trait.Mundane.Name,"Буденний"
WhiskerTraits.Trait.Mundane.Description,"Цей вус не має жодних примітних характеристик."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Майстер на всі руки"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Цей лопатевий апарат чудово справляється з усіма видами робіт."
WhiskerTraits.Trait.Builder.Name,"Будівельник"
WhiskerTraits.Trait.Builder.Description,"Цей вусатий краплі чудово справляється з будівельними роботами."
