Name,"Value"
WhiskerTraits.Setting.Negative.Name,"Bıyık Özellikleri - Olumsuz Özellikler"
WhiskerTraits.Setting.Negative.Description,"Yeni bıyıklarda olumsuz özelliklerin görünmesini etkinleştirin veya devre dışı bırakın."
WhiskerTraits.Setting.Neutral.Name,"Bıyık Özellikleri - Tarafsız Özellikler"
WhiskerTraits.Setting.Neutral.Description,"Yeni bıyıklarda nötr özelliklerin görünmesini etkinleştirin veya devre dışı bırakın."
WhiskerTraits.Setting.Positive.Name,"Bıyık Özellikleri - Olumlu Özellikler"
WhiskerTraits.Setting.Positive.Description,"Yeni bıyıklarda olumlu özelliklerin görünmesini etkinleştirin veya devre dışı bırakın."
WhiskerTraits.Setting.Custom.Name,"Bıyık Özellikleri - Özel Özellikler"
WhiskerTraits.Setting.Custom.Description,"Yeni bıyıklarda özel özelliklerin görünmesini etkinleştirin veya devre dışı bırakın."
WhiskerTraits.Trait.Prolific.Name,"Üretken"
WhiskerTraits.Trait.Prolific.Description,"Bu bıyık son derece üretken."
WhiskerTraits.Trait.Mighty.Name,"Güçlü"
WhiskerTraits.Trait.Mighty.Description,"Bu kıl, son derece ağır yükleri kaldırabilir."
WhiskerTraits.Trait.Speedy.Name,"Hızlı"
WhiskerTraits.Trait.Speedy.Description,"Bu bıyık şimşek gibi hızlı."
WhiskerTraits.Trait.Normal.Name,"Normal"
WhiskerTraits.Trait.Normal.Description,"Bu bıyık hiçbir şekilde dikkat çekici değil."
WhiskerTraits.Trait.Average.Name,"Ortalama"
WhiskerTraits.Trait.Average.Description,"Bu bıyık sıradan bir bıyık."
WhiskerTraits.Trait.Mundane.Name,"Sıradan"
WhiskerTraits.Trait.Mundane.Description,"Bu bıyığın kayda değer bir özelliği yok."
WhiskerTraits.Trait.JackOfAllTrades.Name,"Her işe el atan"
WhiskerTraits.Trait.JackOfAllTrades.Description,"Bu bıyık her türlü işte mükemmeldir."
WhiskerTraits.Trait.Builder.Name,"İnşaatçı"
WhiskerTraits.Trait.Builder.Description,"Bu bıyık, inşaat işlerinde mükemmeldir."
