Name,"Value"
WhiskerTraits.Setting.Negative.Name,"胡须特征 - 负面特征"
WhiskerTraits.Setting.Negative.Description,"启用或禁用负面特征在新胡须上的显示。"
WhiskerTraits.Setting.Neutral.Name,"胡须特征 - 中性特征"
WhiskerTraits.Setting.Neutral.Description,"启用或禁用中性特征在新胡须上的显示。"
WhiskerTraits.Setting.Positive.Name,"胡须特征——积极特征"
WhiskerTraits.Setting.Positive.Description,"启用或禁用正面特征在新胡须上的显示。"
WhiskerTraits.Setting.Custom.Name,"胡须特征 - 自定义特征"
WhiskerTraits.Setting.Custom.Description,"启用或禁用自定义特征在新胡须上的显示。"
WhiskerTraits.Trait.Prolific.Name,"多产的"
WhiskerTraits.Trait.Prolific.Description,"这根胡须的生产力非常高。"
WhiskerTraits.Trait.Mighty.Name,"强大的"
WhiskerTraits.Trait.Mighty.Description,"这根胡须可以举起极其重的物体。"
WhiskerTraits.Trait.Speedy.Name,"迅速"
WhiskerTraits.Trait.Speedy.Description,"这根胡须移动得像闪电一样快。"
WhiskerTraits.Trait.Normal.Name,"普通的"
WhiskerTraits.Trait.Normal.Description,"这根胡须没有任何特别之处。"
WhiskerTraits.Trait.Average.Name,"平均的"
WhiskerTraits.Trait.Average.Description,"这根胡须很普通。"
WhiskerTraits.Trait.Mundane.Name,"平凡"
WhiskerTraits.Trait.Mundane.Description,"这根胡须没有什么特别之处。"
WhiskerTraits.Trait.JackOfAllTrades.Name,"万事通"
WhiskerTraits.Trait.JackOfAllTrades.Description,"这只胡须擅长各种类型的工作。"
WhiskerTraits.Trait.Builder.Name,"建造者"
WhiskerTraits.Trait.Builder.Description,"这只胡须擅长建筑活动。"
